                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 0.5738,                0.76592,                 1.0918,                0.58406,                0.58007,                0.60897,                0.36867,                0.80594,                 1.8654,                0.94956,             0.00033425,             0.00033425,             0.00033425
                     76,                0.51539,                0.72033,                 1.0873,                0.98324,                0.27778,                0.40155,                0.26611,                0.80038,                 1.7929,                0.94848,             0.00032188,             0.00032188,             0.00032188
                     77,                0.58821,                0.77487,                 1.1201,                0.58533,                0.54165,                0.55394,                0.37409,                0.76651,                 1.6733,                0.90742,              0.0003095,              0.0003095,              0.0003095
                     78,                0.55095,                0.71493,                 1.0393,                0.81105,                0.97882,                0.98667,                0.66067,                 0.7712,                 1.5099,                0.90113,             0.00029713,             0.00029713,             0.00029713
                     79,                0.56749,                 0.7322,                 1.0687,                0.89277,                0.58333,                0.57315,                0.41132,                0.75079,                 1.4168,                0.88604,             0.00028475,             0.00028475,             0.00028475
                     80,                0.55741,                0.71333,                 1.0747,                0.94584,                0.99607,                  0.995,                0.67967,                0.72648,                 1.3497,                0.87577,             0.00027237,             0.00027237,             0.00027237
                     81,                0.53449,                0.70899,                 1.0438,                 0.9826,                0.69444,                0.69139,                0.48849,                0.77777,                 1.2771,                0.90965,                0.00026,                0.00026,                0.00026
                     82,                0.58514,                0.76041,                 1.0963,                0.95671,                      1,                  0.995,                0.66092,                0.79967,                 1.3104,                0.92426,             0.00024762,             0.00024762,             0.00024762
                     83,                0.49887,                0.71794,                  1.043,                0.95011,                0.99746,                  0.995,                0.63408,                0.81914,                 1.3525,                0.94171,             0.00023525,             0.00023525,             0.00023525
                     84,                0.50379,                0.68174,                   1.07,                0.98626,                0.71921,                0.71882,                0.48024,                0.83663,                 1.3356,                0.96104,             0.00022288,             0.00022288,             0.00022288
                     85,                0.58994,                0.79079,                 1.1195,                0.98446,                0.69129,                0.69138,                0.46527,                0.84286,                 1.3065,                0.96614,              0.0002105,              0.0002105,              0.0002105
                     86,                  0.533,                0.69558,                 1.0522,                 0.9489,                0.99708,                  0.995,                0.65722,                 0.8294,                 1.2966,                0.95547,             0.00019813,             0.00019813,             0.00019813
                     87,                0.50722,                 0.6828,                 1.0624,                  0.973,                0.66438,                0.66393,                0.48206,                0.81919,                 1.2869,                0.95025,             0.00018575,             0.00018575,             0.00018575
                     88,                 0.4992,                0.67677,                 1.0626,                0.96458,                0.63692,                0.63646,                0.46438,                0.79265,                 1.2975,                0.92387,             0.00017338,             0.00017338,             0.00017338
                     89,                0.56639,                0.74127,                 1.1151,                0.91083,                0.98682,                  0.995,                0.69082,                0.76809,                   1.32,                0.89944,               0.000161,               0.000161,               0.000161
                     90,                0.54526,                0.75277,                 1.0796,                0.91098,                0.98694,                  0.995,                 0.6894,                0.74734,                 1.3389,                0.88398,             0.00014862,             0.00014862,             0.00014862
                     91,                 0.4987,                0.99406,                  1.163,                0.93844,                0.98986,                  0.995,                0.69223,                 0.7374,                 1.3251,                0.87814,             0.00013625,             0.00013625,             0.00013625
                     92,                0.44049,                0.94982,                 1.0737,                0.96402,                      1,                  0.995,                0.69781,                0.72392,                  1.349,                0.86886,             0.00012387,             0.00012387,             0.00012387
                     93,                0.37036,                0.80836,                 1.0003,                 0.9612,                0.98836,                  0.995,                0.70384,                0.71607,                   1.41,                 0.8586,              0.0001115,              0.0001115,              0.0001115
                     94,                0.36867,                0.81557,                 1.0152,                0.95398,                0.98547,                  0.995,                0.72441,                0.71078,                  1.513,                0.85125,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 0.3513,                0.83321,                0.96205,                0.96376,                0.98367,                  0.995,                0.72075,                  0.696,                 1.6132,                0.83802,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.32105,                0.85207,                0.92706,                0.96761,                0.98739,                  0.995,                0.72581,                0.68439,                 1.6331,                0.83065,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.33685,                0.91647,                0.95594,                0.97071,                0.98646,                  0.995,                0.70781,                0.67331,                 1.6138,                0.82183,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.34096,                0.88743,                 1.0086,                0.97269,                0.98718,                  0.995,                 0.6942,                0.66428,                 1.5661,                0.81721,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.30879,                0.81467,                0.93511,                0.97833,                0.99272,                  0.995,                0.69365,                0.66436,                  1.522,                0.81967,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.33774,                0.81012,                0.97543,                0.97926,                0.99451,                  0.995,                 0.6942,                0.66363,                 1.4958,                0.81987,             2.4875e-05,             2.4875e-05,             2.4875e-05
